N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,26/8/22,12:15:0:310,184.2,356.2,1.93026,2.68368
1,26/8/22,12:15:1:310,185.2,357.2,1.93779,2.69121
2,26/8/22,12:15:2:310,186.2,358.2,1.94533,2.69874
3,26/8/22,12:15:3:310,187.2,359.2,1.95286,2.70628
4,26/8/22,12:15:4:310,188.2,360.2,1.96039,2.71381
5,26/8/22,12:15:5:311,189.2,361.2,1.96793,2.72135
6,26/8/22,12:15:6:311,190.2,362.2,1.97546,2.72888
7,26/8/22,12:15:7:311,191.2,363.2,1.983,2.73642
8,26/8/22,12:15:8:311,192.2,364.2,1.99053,2.74395
9,26/8/22,12:15:9:311,193.2,365.2,1.99807,2.75148
10,26/8/22,12:15:10:311,194.2,366.2,2.0056,2.75902
11,26/8/22,12:15:11:311,195.2,367.2,2.01313,2.76655
12,26/8/22,12:15:12:311,196.2,368.2,2.02067,2.77409
13,26/8/22,12:15:13:311,197.2,369.2,2.0282,2.78162
14,26/8/22,12:15:14:311,198.2,370.2,2.03574,2.78916
15,26/8/22,12:15:15:312,199.2,371.2,2.04327,2.79669
16,26/8/22,12:15:16:312,200.2,372.2,2.0508,2.80422
17,26/8/22,12:15:17:312,201.2,373.2,2.05834,2.81176
18,26/8/22,12:15:18:312,202.2,374.2,2.06587,2.81929
19,26/8/22,12:15:19:312,203.2,375.2,2.07341,2.82683
20,26/8/22,12:15:20:312,204.2,376.2,2.08094,2.83436
