N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,17:54:12:371,14.2,100.2
1,25/8/22,17:54:13:371,15.2,101.2
2,25/8/22,17:54:14:371,16.2,102.2
3,25/8/22,17:54:15:371,17.2,103.2
4,25/8/22,17:54:16:371,18.2,104.2
5,25/8/22,17:54:17:372,19.2,105.2
6,25/8/22,17:54:18:372,20.2,106.2
7,25/8/22,17:54:19:372,21.2,107.2
8,25/8/22,17:54:20:372,22.2,108.2
9,25/8/22,17:54:21:372,23.2,109.2
10,25/8/22,17:54:22:372,24.2,110.2
11,25/8/22,17:54:23:372,25.2,111.2
12,25/8/22,17:54:24:372,26.2,112.2
13,25/8/22,17:54:25:372,27.2,113.2
14,25/8/22,17:54:26:373,28.2,114.2
15,25/8/22,17:54:27:373,29.2,115.2
16,25/8/22,17:54:28:373,30.2,116.2
17,25/8/22,17:54:29:373,31.2,117.2
18,25/8/22,17:54:30:373,32.2,118.2
19,25/8/22,17:54:31:373,33.2,119.2
20,25/8/22,17:54:32:374,34.2,120.2
21,25/8/22,17:54:33:374,35.2,121.2
